lambda,N,p_max,mean_error_50,mean_error_100,mean_error_150,sliwinski_bound,dissonance_delta
30.0,500,61,0.21201420976356836,0.1759319655790635,0.1664964786041483,0.07350352594880151,0.13851068381476683
30.0,500,101,0.2251161808001614,0.1882407329150055,0.1690577027426286,0.07350352594880151,0.15161265485135988
30.0,500,151,0.22220714005640918,0.19023435455509463,0.17257213756210155,0.07350352594880151,0.14870361410760768
20.0,1000,61,0.24079384960946718,0.20395695646652923,0.20174459066519004,0.08345205017383352,0.15734179943563364
20.0,1000,101,0.25534252528615065,0.21489131132777797,0.20377669623072808,0.08345205017383352,0.17189047511231714
20.0,1000,151,0.23480820239293443,0.20579557226452405,0.20158966066800757,0.08345205017383352,0.15135615221910093
21.0,1000,61,0.19953281501504924,0.19161457021457234,0.19993711004895448,0.08211468468826277,0.11741813032678647
21.0,1000,101,0.21318266159741445,0.18905463863613825,0.1909404119506201,0.08211468468826277,0.13106797690915167
21.0,1000,151,0.23434045695058614,0.19845767641288262,0.19569020739850676,0.08211468468826277,0.15222577226232337
22.0,1000,61,0.2339047806007599,0.1903306870980778,0.20027636908084606,0.08087886328716812,0.15302591731359177
22.0,1000,101,0.2607176941713483,0.19796018263464055,0.18773127597296768,0.08087886328716812,0.1798388308841802
22.0,1000,151,0.22687432454559697,0.19368570859964498,0.18632386472715926,0.08087886328716812,0.14599546125842885
23.0,1000,61,0.24693596093647843,0.21075077586189964,0.1987542374406447,0.07973224722595025,0.16720371371052817
23.0,1000,101,0.2319309899962375,0.20616490744150684,0.19187481609163298,0.07973224722595025,0.15219874277028728
23.0,1000,151,0.2342361233303576,0.20485745973170202,0.18879028009585214,0.07973224722595025,0.15450387610440736
24.0,1000,61,0.21185190339931295,0.19693073220569232,0.1919541425911831,0.07866449511103121,0.13318740828828174
24.0,1000,101,0.22265251027707117,0.2070042410851426,0.18972050303276378,0.07866449511103121,0.14398801516603996
24.0,1000,151,0.2129224495409381,0.20342523796518752,0.18888123941876286,0.07866449511103121,0.1342579544299069
25.0,1000,61,0.18458133707776675,0.1805530275661685,0.1754299214034272,0.07766686681995148,0.10691447025781527
25.0,1000,101,0.21443505844930213,0.1953006688587454,0.1786101586776348,0.07766686681995148,0.13676819162935067
25.0,1000,151,0.21405701397266796,0.1965345418350458,0.17668622844419626,0.07766686681995148,0.13639014715271647
26.0,1000,61,0.19921104020557592,0.17329424866102636,0.18153449707296238,0.07673191910753371,0.12247912109804221
