lambda,N,p_max,mean_error_50,mean_error_100,sliwinski_bound,dissonance_delta
30.0,600,13,0.22956182010700502,0.2202260815125564,0.07350352594880151,0.1560582941582035
30.0,600,31,0.2112473016512205,0.199924213388175,0.07350352594880151,0.13774377570241897
30.0,600,61,0.21184434531984167,0.17708120951934184,0.07350352594880151,0.13834081937104015
30.0,600,101,0.22634696766732668,0.18965892143721516,0.07350352594880151,0.15284344171852515
5.0,800,13,0.3733304720451222,0.3747776900768956,0.15533373363990297,0.21799673840521924
5.0,800,31,0.41832808280759765,0.4018062323212729,0.15533373363990297,0.2629943491676947
5.0,800,61,0.5053050932141762,0.4735392575904423,0.15533373363990297,0.34997135957427317
5.0,800,101,0.5551387758193139,0.5116260474363994,0.15533373363990297,0.39980504217941093
7.5,800,13,0.33524111739773427,0.35179621209711387,0.124075450506158,0.2111656668915763
7.5,800,31,0.32179852880294135,0.33113140419642306,0.124075450506158,0.19772307829678337
7.5,800,61,0.33944745605494675,0.31931671845246873,0.124075450506158,0.21537200554878877
7.5,800,101,0.4178856895574084,0.3938327870098015,0.124075450506158,0.2938102390512504
10.0,800,13,0.26532030936348555,0.29388000801753056,0.10857362047581294,0.15674668888767262
10.0,800,31,0.2670155109494219,0.2814477546315182,0.10857362047581294,0.15844189047360896
10.0,800,61,0.23354310550481489,0.23543590800910771,0.10857362047581294,0.12496948502900194
10.0,800,101,0.2536395225833134,0.23384776940304852,0.10857362047581294,0.14506590210750048
12.5,800,13,0.25083659206544334,0.26126381061436527,0.098981337747179,0.15185525431826435
12.5,800,31,0.2554798646761907,0.26267824793065186,0.098981337747179,0.15649852692901173
12.5,800,61,0.2699745474525529,0.24387901346167257,0.098981337747179,0.1709932097053739
12.5,800,101,0.2877699637035671,0.2493649022531961,0.098981337747179,0.18878862595638812
15.0,800,13,0.22541578268532877,0.25430235756809,0.09231734326721376,0.133098439418115
15.0,800,31,0.2397564766340879,0.23195764414874026,0.09231734326721376,0.14743913336687414
15.0,800,61,0.2176444385932086,0.20276102397349946,0.09231734326721376,0.12532709532599484
15.0,800,101,0.23669584682724262,0.20459914621146524,0.09231734326721376,0.14437850356002885
17.5,800,13,0.23355710268040863,0.25235458442067227,0.08734537176119352,0.14621173091921513
17.5,800,31,0.22595903110365448,0.22440979489691987,0.08734537176119352,0.13861365934246095
17.5,800,61,0.22623803043968274,0.19785480755384152,0.08734537176119352,0.1388926586784892
17.5,800,101,0.24391691149464903,0.21052383863146495,0.08734537176119352,0.1565715397334555
20.0,800,13,0.24532366057765134,0.24849117686573166,0.08345205017383352,0.1618716104038178
20.0,800,31,0.2269604587700171,0.23623898660283993,0.08345205017383352,0.14350840859618358
20.0,800,61,0.23931710995472794,0.20226866767914586,0.08345205017383352,0.15586505978089443
20.0,800,101,0.25470573944953284,0.215408616887467,0.08345205017383352,0.17125368927569934
22.5,800,13,0.245396939667102,0.24383191700374646,0.08029509257926311,0.16510184708783887
22.5,800,31,0.24229813793224939,0.2352634904666283,0.08029509257926311,0.16200304535298626
22.5,800,61,0.2165496656396823,0.19662473557246074,0.08029509257926311,0.13625457306041922
22.5,800,101,0.24608411768416336,0.2089411938784239,0.08029509257926311,0.16578902510490023
25.0,800,13,0.235143203955332,0.2429322659664185,0.07766686681995148,0.1574763371353805
25.0,800,31,0.20137217068854713,0.2176448146303126,0.07766686681995148,0.12370530386859564
25.0,800,61,0.1821075442435651,0.17689764550073123,0.07766686681995148,0.10444067742361361
25.0,800,101,0.21362713709314696,0.19419138261562563,0.07766686681995148,0.13596027027319546
27.5,800,13,0.21195275870059224,0.22630080781753292,0.07543330387839908,0.13651945482219316
27.5,800,31,0.20965469980111415,0.20641765494326467,0.07543330387839908,0.13422139592271506
27.5,800,61,0.1879302515703901,0.17142858092301835,0.07543330387839908,0.112496947691991
27.5,800,101,0.1999474747306353,0.17896971720617735,0.07543330387839908,0.1245141708522362
30.0,800,13,0.22777781009511586,0.21505708341602614,0.07350352594880151,0.15427428414631433
30.0,800,31,0.2100160539840215,0.19800542569486793,0.07350352594880151,0.13651252803522002
30.0,800,61,0.21100760115124956,0.1783966508497761,0.07350352594880151,0.13750407520244806
30.0,800,101,0.22739916794399345,0.18924157551364068,0.07350352594880151,0.15389564199519196
5.0,1000,13,0.37601270067985554,0.37789592554426166,0.15533373363990297,0.22067896703995257
5.0,1000,31,0.41825055932785044,0.4032939717302703,0.15533373363990297,0.2629168256879475
5.0,1000,61,0.5038227938001646,0.4731977786614307,0.15533373363990297,0.3484890601602616
5.0,1000,101,0.5533812718915269,0.5103984679632221,0.15533373363990297,0.39804753825162387
7.5,1000,13,0.3375257219820199,0.35361742934528606,0.124075450506158,0.21345027147586193
7.5,1000,31,0.3220369617976584,0.33240787843335867,0.124075450506158,0.1979615112915004
7.5,1000,61,0.34205768513447515,0.32016332658808677,0.124075450506158,0.21798223462831717
7.5,1000,101,0.41785628146429715,0.39289618134554055,0.124075450506158,0.29378083095813917
10.0,1000,13,0.26666739512543186,0.2934779010931928,0.10857362047581294,0.15809377464961893
10.0,1000,31,0.268708107780526,0.2817289860660972,0.10857362047581294,0.16013448730471308
10.0,1000,61,0.2346702277189471,0.23477512161164288,0.10857362047581294,0.12609660724313415
